id,nom,description,type
2807,Électronique,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
2808,Génie Civil,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur
2809,Ingénierie Environnementale,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Doctorat
2810,Mécanique,Formation en conception et gestion de structures civiles,Master
2811,Informatique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master
2812,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,License
2813,Génie Industriel,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur
2814,Ingénierie Environnementale,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master
2815,Électronique,Formation sur la gestion et l'amélioration des processus industriels,Doctorat
2816,Mécanique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
2817,Architecture,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur
2818,Ingénierie des Systèmes,Formation en conception et gestion des systèmes électroniques,Master
2819,Ingénierie Environnementale,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur
2820,Électronique,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur
2821,Informatique,Formation en développement logiciel et systèmes informatiques,Master
2822,Ingénierie Environnementale,"Formation en conception, installation et maintenance de réseaux de télécommunication",Master
2823,Génie Industriel,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
2824,Informatique,Formation en conception et gestion de structures civiles,License
2825,Architecture,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,License
2826,Mathématiques Appliquées,Formation en développement logiciel et systèmes informatiques,Master
2827,Ingénierie des Systèmes,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License
2828,Télécommunications,Formation en conception et gestion d'espaces architecturaux et urbains,License
2829,Ingénierie des Systèmes,Formation en conception et gestion de structures civiles,Master
2830,Architecture,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
2831,Télécommunications,Formation en conception et gestion des systèmes électroniques,Master
2832,Génie Industriel,Formation en conception et gestion des systèmes électroniques,Master
2833,Mathématiques Appliquées,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat
2834,Génie Civil,Formation sur la gestion et l'amélioration des processus industriels,Doctorat
2835,Architecture,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur
2836,Ingénierie des Systèmes,Formation sur la gestion des systèmes d'information et leur optimisation,Master
2837,Mécanique,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat
2838,Informatique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master
2839,Informatique,"Formation en conception, fabrication et maintenance de machines",License
2840,Électronique,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur
2841,Ingénierie Environnementale,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
2842,Télécommunications,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur
2843,Informatique,Formation en conception et gestion de structures civiles,Doctorat
2844,Mécanique,Formation sur la gestion et l'amélioration des processus industriels,Master
2845,Mathématiques Appliquées,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,License
2846,Architecture,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
2847,Électronique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
2848,Ingénierie Environnementale,Formation sur la gestion des systèmes d'information et leur optimisation,License
2849,Télécommunications,Formation sur la gestion et l'amélioration des processus industriels,Master
2850,Génie Industriel,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
2851,Ingénierie des Systèmes,Formation en conception et gestion d'espaces architecturaux et urbains,License
2852,Génie Industriel,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur
2853,Mathématiques Appliquées,Formation en développement logiciel et systèmes informatiques,License
2854,Mathématiques Appliquées,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License
2855,Électronique,Formation en développement logiciel et systèmes informatiques,License
2856,Ingénierie des Systèmes,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
2857,Informatique,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur
2858,Architecture,Formation en conception et gestion de structures civiles,Doctorat
2859,Architecture,Formation en développement logiciel et systèmes informatiques,Master
2860,Électronique,Formation en conception et gestion des systèmes électroniques,Doctorat
2861,Mathématiques Appliquées,"Formation en conception, fabrication et maintenance de machines",Master
2862,Mécanique,"Formation en conception, fabrication et maintenance de machines",Doctorat
2863,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
2864,Génie Industriel,"Formation en conception, installation et maintenance de réseaux de télécommunication",License
2865,Mathématiques Appliquées,Formation sur la gestion des systèmes d'information et leur optimisation,License
2866,Architecture,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur
2867,Mathématiques Appliquées,"Formation en conception, fabrication et maintenance de machines",License
2868,Électronique,"Formation en conception, fabrication et maintenance de machines",Master
2869,Mécanique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
2870,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat
2871,Mathématiques Appliquées,Formation sur la gestion des systèmes d'information et leur optimisation,Master
2872,Ingénierie des Systèmes,Formation en conception et gestion des systèmes électroniques,License
2873,Mathématiques Appliquées,Formation sur la gestion des systèmes d'information et leur optimisation,License
2874,Génie Industriel,"Formation en conception, fabrication et maintenance de machines",Doctorat
2875,Mécanique,Formation en conception et gestion des systèmes électroniques,Master
2876,Électronique,Formation sur la gestion et l'amélioration des processus industriels,Doctorat
2877,Mathématiques Appliquées,Formation en conception et gestion de structures civiles,License
